pl_name,hostname,pl_masse,pl_rade,pl_orbper,pl_eqt,st_teff,discoverymethod,disc_year
Kepler-1791 b,Kepler-1791,,3.12103321,7.720860004,,5887.0,Transit,2021.0
HD 113337 b,HD 113337,,,317.58639,,,Radial Velocity,2013.0
Kepler-1567 b,Kepler-1567,,2.73,153.979578,,5655.0,Transit,2016.0
Kepler-114 d,Kepler-114,3.9,2.53,11.776,,,Transit,2013.0
Kepler-666 b,Kepler-666,,2.4,4.49876092,,5887.0,Transit,2016.0
24 Boo b,24 Boo,,,30.33,,4816.0,Radial Velocity,2018.0
K2-208 b,K2-208,,1.67462172,4.19097,1122.0,5500.0,Transit,2018.0
Kepler-131 c,Kepler-131,8.25,0.84,25.5169,,5685.0,Transit,2014.0
Kepler-681 b,Kepler-681,,3.08,26.39435646,,5021.0,Transit,2016.0
Kepler-632 b,Kepler-632,,2.21,30.99660733,,5322.0,Transit,2016.0
Kepler-1777 b,Kepler-1777,,2.13189678,12.18420029,,5771.0,Transit,2021.0
KELT-21 b,KELT-21,1242.7153,17.777474,3.6127647,2051.0,7598.0,Transit,2018.0
KMT-2023-BLG-1431L b,KMT-2023-BLG-1431L,13.6,,,,,Microlensing,2024.0
Kepler-894 b,Kepler-894,,2.78,9.803224,,5603.0,Transit,2016.0
K2-179 b,K2-179,,2.51267885,5.172191,,5015.0,Transit,2018.0
K2-35 b,K2-35,,1.32,2.399964,,4402.71,Transit,2016.0
Kepler-125 b,Kepler-125,,2.37,4.164389,,3810.0,Transit,2014.0
MOA-2013-BLG-220L b,MOA-2013-BLG-220L,871.0,,,,,Microlensing,2014.0
Kepler-623 b,Kepler-623,,3.01,9.07097734,,5443.0,Transit,2016.0
KMT-2021-BLG-1077L c,KMT-2021-BLG-1077L,79.45710175,,,,,Microlensing,2022.0
K2-193 b,K2-193,,3.95,14.786889,739.0,5817.0,Transit,2018.0
Kepler-1312 c,Kepler-1312,,1.02732734,1.116119981,,5721.0,Transit,2021.0
HD 18143 b,HD 18143,,,10.2851,,,Radial Velocity,2022.0
TOI-5786 b,TOI-5786,73.0,8.54,12.779107,1040.0,6235.0,Transit,2025.0
Kepler-1396 b,Kepler-1396,,2.07,18.2206421,,6195.0,Transit,2016.0
Kepler-204 b,Kepler-204,,2.53,14.400974,,5812.0,Transit,2014.0
HD 99492 b,HD 99492,,,17.0503,,4929.0,Radial Velocity,2004.0
Kepler-1300 b,Kepler-1300,,1.37,22.2419092,,6130.0,Transit,2016.0
Kepler-180 c,Kepler-180,,3.01,41.885775,,5731.0,Transit,2014.0
Kepler-880 c,Kepler-880,,2.87,11.8061737,1407.0,6900.0,Transit,2023.0
K2-268 b,K2-268,,1.5,2.151676,1136.0,5106.0,Transit,2018.0
Kepler-1322 c,Kepler-1322,,2.15492527,6.459980011,,5704.0,Transit,2021.0
Kepler-271 d,Kepler-271,,0.66,5.24972541,,5555.0,Transit,2016.0
K2-118 b,K2-118,,2.54,50.92092,,4726.29,Transit,2017.0
Kepler-269 c,Kepler-269,,1.69,8.127899,,5847.0,Transit,2014.0
Kepler-881 b,Kepler-881,,1.78,4.44448017,,5961.0,Transit,2016.0
Kepler-1482 b,Kepler-1482,,1.01,12.25383217,,5381.0,Transit,2016.0
HD 98736 b,HD 98736,,,968.8,,5271.0,Radial Velocity,2018.0
Kepler-505 b,Kepler-505,,2.6,27.52197994,,3931.0,Transit,2016.0
Kepler-156 c,Kepler-156,,2.55,15.906801,,5094.0,Transit,2014.0
Kepler-1735 b,Kepler-1735,,1.19429134,7.71792984,,3975.0,Transit,2021.0
K2-139 b,K2-139,,9.11,28.380619,524.0,5370.0,Transit,2017.0
Kepler-152 c,Kepler-152,,2.39,88.255055,,5088.0,Transit,2014.0
Kepler-415 c,Kepler-415,,,8.708,,,Transit Timing Variations,2014.0
HIP 35965 b,HIP 35965,2589.98368864,,26125.56497,,,Radial Velocity,2022.0
Kepler-1781 b,Kepler-1781,,2.38091029,4.88752985,,5568.0,Transit,2021.0
WASP-151 b,WASP-151,100.43377661,13.30506009,4.5334775,1312.0,,Transit,2017.0
K2-220 b,K2-220,,2.37,13.68186,761.0,5612.0,Transit,2018.0
Kepler-980 b,Kepler-980,,2.67,11.55102504,,5935.0,Transit,2016.0
HAT-P-21 b,HAT-P-21,1547.8321,12.44199,4.12448,,5588.0,Transit,2010.0
WASP-108 b,WASP-108,,15.13212395,,1589.0,,Transit,2020.0
Kepler-42 c,Kepler-42,,0.73,0.45328509,720.0,3068.0,Transit,2011.0
K2-72 d,K2-72,,1.01,7.760178,,3360.47,Transit,2016.0
NGC 2682 Sand 978 b,NGC 2682 Sand 978,,,511.21,,4200.0,Radial Velocity,2017.0
K2-218 b,K2-218,,2.56948149,8.679885,,5757.0,Transit,2018.0
Kepler-48 e,Kepler-48,657.0,,982.0,,5194.0,Radial Velocity,2014.0
MOA-2008-BLG-310L b,MOA-2008-BLG-310L,23.4,,,,,Microlensing,2009.0
Kepler-1713 b,Kepler-1713,,1.71673535,18.01160049,,6477.0,Transit,2021.0
Kepler-1845 b,Kepler-1845,,2.43836702,11.60649967,,4703.0,Transit,2021.0
Kepler-114 c,Kepler-114,2.8,1.6,8.041,,,Transit,2013.0
Kepler-158 c,Kepler-158,,1.9,28.551383,,4623.0,Transit,2014.0
ROXs 12 b,ROXs 12,5085.0,,,,3850.0,Imaging,2013.0
2M0437 b,2MASS J04372171+2651014,1271.313628,,,1450.0,3100.0,Imaging,2021.0
Kepler-899 b,Kepler-899,,2.68,19.17891293,,5595.0,Transit,2016.0
Kepler-896 b,Kepler-896,,2.53,144.547396,,5262.0,Transit,2016.0
K2-85 b,K2-85,3.2,1.4,0.68453862616,1355.0,4232.0,Transit,2016.0
Kepler-466 b,Kepler-466,,2.85,51.07926307,,5927.0,Transit,2016.0
Kepler-217 d,Kepler-217,,1.32,3.88689525,,6341.0,Transit,2016.0
Kepler-62 b,Kepler-62,9.0,1.31,5.714932,750.0,4925.0,Transit,2013.0
Kepler-811 b,Kepler-811,,2.7,23.58447697,,5747.0,Transit,2016.0
OGLE-2018-BLG-0962L b,OGLE-2018-BLG-0962L,425.89006538,,,,,Microlensing,2021.0
Kepler-332 d,Kepler-332,,1.18,34.21154,,4955.0,Transit,2014.0
BD+63 1405 b,BD+63 1405,,,1198.48,,5000.0,Radial Velocity,2021.0
HD 96167 b,HD 96167,,,498.04,,5733.0,Radial Velocity,2009.0
Kepler-1336 c,Kepler-1336,,1.71,5.77721211,,5512.0,Transit,2016.0
BD+20 594 b,BD+20 594,22.2481,2.57807,41.6855,,5766.0,Transit,2016.0
Kepler-172 d,Kepler-172,,2.25,14.627119,,5526.0,Transit,2014.0
Kepler-304 b,Kepler-304,,2.86,3.295709,,4731.0,Transit,2014.0
EPIC 212297394 b,EPIC 212297394,,1.48,2.289363,1149.0,5171.0,Transit,2019.0
Kepler-287 c,Kepler-287,,3.26,44.851896,,5806.0,Transit,2014.0
Kepler-995 b,Kepler-995,,2.7,28.26731672,,5206.0,Transit,2016.0
CoRoT-27 b,CoRoT-27,3302.11,11.287,3.57532,1500.0,5900.0,Transit,2014.0
Kepler-1673 b,Kepler-1673,,2.9355194,33.7888,,6014.95,Transit,2020.0
Kepler-1343 b,Kepler-1343,,1.93,3.35183158,,5759.0,Transit,2016.0
Kepler-142 b,Kepler-142,,1.99,2.024152,,5790.0,Transit,2014.0
Kepler-389 b,Kepler-389,,1.51,3.244107,,5376.0,Transit,2014.0
GJ 508.2 b,GJ 508.2,,,5300.0,,3720.0,Radial Velocity,2025.0
Kepler-394 c,Kepler-394,,1.66,12.130686,,6402.0,Transit,2014.0
Kepler-1600 b,Kepler-1600,,3.13,386.370548,,5214.0,Transit,2016.0
CoRoT-7 d,CoRoT-7,17.142,,8.966,,5250.0,Radial Velocity,2022.0
Kepler-937 b,Kepler-937,,3.72,67.668827,,6095.0,Transit,2016.0
OGLE-2017-BLG-0604L b,OGLE-2017-BLG-0604L,160.0,,,,,Microlensing,2020.0
Kepler-359 c,Kepler-359,,4.3,57.68802,,6248.0,Transit,2014.0
HD 37124 d,HD 37124,,,1862.0,,,Radial Velocity,2005.0
Kepler-1586 b,Kepler-1586,,1.52,15.6049212,,6681.0,Transit,2016.0
Kepler-79 d,Kepler-79,6.0,7.16,52.0902,,6174.0,Transit,2014.0
EPIC 201427007 b,EPIC 201427007,,1.5,0.72091,,5633.0,Transit,2021.0
Kepler-1261 b,Kepler-1261,,2.26,48.4308991,,5006.0,Transit,2016.0
HD 106906 b,HD 106906,3496.0,,,1800.0,6516.0,Imaging,2013.0
bet Cnc b,bet Cnc,,,605.2,,4092.1,Radial Velocity,2014.0
K2-246 b,K2-246,,3.49,5.76918,977.0,5610.0,Transit,2018.0
Kepler-1548 b,Kepler-1548,,2.64,124.828679,,5706.0,Transit,2016.0
Kepler-197 b,Kepler-197,,1.02,5.599308,,6004.0,Transit,2014.0
EPIC 206024342 c,EPIC 206024342,,1.4,0.911724,,5724.0,Transit,2021.0
KIC 10068024 b,KIC 10068024,,,2.073549,,6118.4,Orbital Brightness Modulation,2021.0
K2-202 b,K2-202,,2.30165603,3.405164,,5491.0,Transit,2018.0
Kepler-1892 b,Kepler-1892,,1.83707938,6.331230164,,5383.0,Transit,2021.0
Kepler-316 b,Kepler-316,,1.06,2.240508,,4204.0,Transit,2014.0
HD 7449 b,HD 7449,2597.92939882,,1270.55195,,,Radial Velocity,2011.0
DE CVn b,DE CVn,,,4098.1,,,Eclipse Timing Variations,2018.0
K2-316 b,K2-316,,1.33,1.133,841.0,3436.0,Transit,2020.0
K2-268 f,K2-268,,2.23,26.27057,492.0,5106.0,Transit,2021.0
Gaia-4 b,Gaia-4,3750.3752026,,571.3,,4034.0,Astrometry,2025.0
HD 102195 b,HD 102195,,,4.11377,,5301.0,Radial Velocity,2006.0
Kepler-416 c,Kepler-416,,,12.209,,,Transit Timing Variations,2014.0
HD 192263 b,HD 192263,,,24.3556,,4976.0,Radial Velocity,1999.0
Kepler-774 b,Kepler-774,,3.17,11.0895723,,6403.0,Transit,2016.0
Kepler-892 b,Kepler-892,,2.81,13.7521072,,4747.0,Transit,2016.0
Kepler-111 b,Kepler-111,,1.58,3.341815,,5952.0,Transit,2014.0
K2-90 b,K2-90,,2.6,13.733314,502.0,4484.0,Transit,2016.0
HD 231701 b,HD 231701,,,141.63,,6101.0,Radial Velocity,2007.0
HD 75784 c,HD 75784,,,7900.0,,4867.0,Radial Velocity,2018.0
Kepler-937 c,Kepler-937,,2.67,153.343364,,6095.0,Transit,2016.0
Kepler-79 c,Kepler-79,5.9,3.72,27.4029,,6174.0,Transit,2012.0
GJ 3634 b,GJ 3634,8.4,,2.64561,,,Radial Velocity,2010.0
KMT-2021-BLG-1372L b,KMT-2021-BLG-1372L,61.27,,,,,Microlensing,2022.0
K2-215 b,K2-215,,2.12381238,8.269648,,5704.0,Transit,2018.0
Kepler-561 c,Kepler-561,,2.68,5.350161983,,5646.0,Transit,2016.0
Kepler-1406 b,Kepler-1406,,1.1,11.62905828,,5892.0,Transit,2016.0
Kepler-1521 b,Kepler-1521,,2.5,47.14840805,,5042.0,Transit,2016.0
KOI-984 b,KOI-984,,4.3,4.2881785,1022.0,5295.0,Transit,2022.0
Kepler-1851 b,Kepler-1851,,3.90012032,12.02289963,,5982.0,Transit,2021.0
Kepler-1065 b,Kepler-1065,,3.73,3.609308907,,5635.0,Transit,2016.0
OGLE-2018-BLG-1011L b,OGLE-2018-BLG-1011L,570.0,,,,,Microlensing,2019.0
Kepler-1792 b,Kepler-1792,,2.51990972,4.1957798,,5229.0,Transit,2021.0
Kepler-82 e,Kepler-82,,2.47,5.902206,,5428.0,Transit,2014.0
Kepler-1483 b,Kepler-1483,,1.52,9.5085156,,6337.0,Transit,2016.0
Kepler-191 c,Kepler-191,,1.86,17.738506,,5282.0,Transit,2014.0
Kepler-1602 b,Kepler-1602,,1.34,11.17931605,,6296.0,Transit,2016.0
Kepler-1355 b,Kepler-1355,,1.46,1.289588112,,5352.0,Transit,2016.0
Kepler-256 d,Kepler-256,,2.48,5.839172,,5551.0,Transit,2014.0
Kepler-177 c,Kepler-177,14.7,8.73,49.40926,,5732.0,Transit,2013.0
Kepler-158 d,Kepler-158,,0.43,0.645088,,4895.97,Transit,2024.0
Kepler-529 c,Kepler-529,,2.0,12.8345022,,6087.0,Transit,2016.0
MOA-2022-BLG-249L b,MOA-2022-BLG-249L,4.83,,,,,Microlensing,2023.0
KOI-351 g,KOI-351,15.0,,210.73514,,,Transit,2013.0
HIP 77900 b,HIP 77900,6674.396547,,,2507.0,,Imaging,2024.0
HD 156668 b,HD 156668,,,4.6455,,4850.0,Radial Velocity,2010.0
Kepler-375 b,Kepler-375,,1.45,12.125934,,5826.0,Transit,2014.0
TOI-1444 b,TOI-1444,3.58,1.41792246,0.4702743,2130.02,5460.0,Transit,2021.0
K2-115 b,K2-115,321.00669107,11.80305668,20.2729914,696.0,5870.0,Transit,2017.0
HD 39194 d,HD 39194,,,33.874,,,Radial Velocity,2021.0
DMPP-2 b,DMPP-2,,,5.203,,,Radial Velocity,2019.0
DMPP-2 d,DMPP-2,,,16.491,,,Radial Velocity,2026.0
DMPP-6 c,DMPP-6,,,36.441,,,Radial Velocity,2026.0
Kepler-1184 b,Kepler-1184,,2.68,53.5991044,,5983.0,Transit,2016.0
Kepler-222 d,Kepler-222,,3.69,28.081912,,5433.0,Transit,2014.0
Kepler-1431 b,Kepler-1431,,1.47,5.86601526,,5806.0,Transit,2016.0
Kepler-279 b,Kepler-279,,3.62,12.309681,,6363.0,Transit,2014.0
Kepler-368 b,Kepler-368,,3.26,26.84768,,5502.0,Transit,2014.0
HD 92788 b,HD 92788,,,325.803,,5744.0,Radial Velocity,2000.0
HD 165155 b,HD 165155,,,434.5,,5426.0,Radial Velocity,2016.0
Kepler-317 b,Kepler-317,,2.09,5.524242,,5497.0,Transit,2014.0
Kepler-508 b,Kepler-508,,1.64,25.30889748,,6025.0,Transit,2016.0
Gl 410 b,Gl 410,,,6.02,,3842.0,Radial Velocity,2025.0
Kepler-1782 b,Kepler-1782,,2.22927435,5.756229877,,4931.0,Transit,2021.0
Kepler-931 b,Kepler-931,,1.33,8.03755877,,5241.0,Transit,2016.0
HR 8799 b,HR 8799,2000.0,13.0,170000.0,,,Imaging,2008.0
HAT-P-14 b,HAT-P-14,1093.3352,15.91678,4.62767,,6600.0,Transit,2010.0
HR 8799 e,HR 8799,3178.3,13.11453,,1150.0,7400.0,Imaging,2010.0
Kepler-47 b,Kepler-47,2.07,3.05,49.4643,,,Transit,2012.0
Kepler-1985 b,Kepler-1985,,2.27,3.42064689,1129.0,5370.0,Transit,2023.0
KIC 8540376 c,KOI-7892,,2.4,75.2,,6474.0,Transit,2015.0
Kepler-1582 b,Kepler-1582,,1.49,4.83817712,,3208.0,Transit,2016.0
Kepler-307 b,Kepler-307,7.44,2.43,10.4208,,5367.0,Transit,2013.0
Kepler-1616 b,Kepler-1616,,1.02,6.76284377,,6266.0,Transit,2016.0
Kepler-794 b,Kepler-794,,2.11,11.13125132,,5839.0,Transit,2016.0
Kepler-1234 b,Kepler-1234,,2.81,11.94014029,,4967.0,Transit,2016.0
Kepler-133 c,Kepler-133,,2.84,31.517586,,5736.0,Transit,2014.0
HD 205158 b,HD 205158,,,25.33798,,,Radial Velocity,2022.0
K2-325 b,K2-325,,2.2,6.93,423.0,3287.0,Transit,2020.0
HD 153557 d,HD 153557,8725.66108578,,40654.64809,,,Radial Velocity,2022.0
Kepler-357 d,Kepler-357,,3.43,49.499875,,5036.0,Transit,2014.0
Kepler-1919 b,Kepler-1919,,2.62390658,37.88660049,,5513.0,Transit,2021.0
KOBE-1 b,KOBE-1,,,8.5399,594.4,4135.0,Radial Velocity,2025.0
Kepler-876 b,Kepler-876,,1.43,5.14438011,,5060.0,Transit,2016.0
OGLE-2017-BLG-1434L b,OGLE-2017-BLG-1434L,4.43,,,,,Microlensing,2018.0
Kepler-553 c,Kepler-553,2129.4503269,11.57887706,328.24017,251.0,5191.0,Transit,2016.0
Kepler-1412 b,Kepler-1412,,0.83,3.6146051,,5880.0,Transit,2016.0
Kepler-1060 b,Kepler-1060,,2.38,46.8779367,,5797.0,Transit,2016.0
Kepler-1169 b,Kepler-1169,,0.94,6.11009134,,6191.0,Transit,2016.0
K2-357 b,K2-357,,3.72,16.3488637,735.0,5794.0,Transit,2021.0
K2-49 b,K2-49,,1.93,2.77065,,4175.0,Transit,2016.0
Kepler-61 b,Kepler-61,,2.15,59.87756,273.0,4017.0,Transit,2013.0
HD 105779 b,HD 105779,,,2412.0,,5792.0,Radial Velocity,2022.0
K2-80 d,K2-80,,2.55211506,28.867253,,5377.0,Transit,2018.0
Kepler-338 d,Kepler-338,,3.0,44.431014,,5923.0,Transit,2014.0
Kepler-1687 b,Kepler-1687,,1.65623882,5.77954,,4132.0,Transit,2020.0
KMT-2017-BLG-1057L b,KMT-2017-BLG-1057L,23.5,,,,,Microlensing,2024.0
HD 10697 b,HD 10697,1825.2885414,,1075.3799,,,Radial Velocity,1999.0
Kepler-139 b,Kepler-139,,2.94,15.771044,,5594.0,Transit,2014.0
GJ 3138 b,GJ 3138,,,1.22003,,3717.0,Radial Velocity,2017.0
Kepler-228 b,Kepler-228,,1.53,2.566546,,6043.0,Transit,2014.0
Kepler-864 b,Kepler-864,,2.4,5.83376092,,5754.0,Transit,2016.0
HD 190007 b,HD 190007,,,11.724128,,4610.0,Radial Velocity,2020.0
GJ 96 b,GJ 96,,,73.94,,3785.0,Radial Velocity,2018.0
Kepler-276 c,Kepler-276,16.6,2.9,31.884,,,Transit,2013.0
kap CrB b,kap CrB,,,1253.68,,4840.0,Radial Velocity,2007.0
HD 233604 b,HD 233604,,,192.0,,4791.0,Radial Velocity,2013.0
Kepler-282 e,Kepler-282,56.2,3.1,44.347,,,Transit,2013.0
K2-249 b,K2-249,,2.79,12.409,1061.0,6504.0,Transit,2018.0
K2-368 b,K2-368,,1.332,5.025598,,4663.0,Transit,2022.0
2MASS J03590986+2009361 b,2MASS J03590986+2009361,5720.911326,,,2369.0,,Imaging,2024.0
Kepler-1237 b,Kepler-1237,,2.86,84.5733226,,5472.0,Transit,2016.0
WTS-1 b,WTS-1,1274.44,16.7,3.352057,1500.0,6250.0,Transit,2012.0
HD 96700 c,HD 96700,,,19.88,,5845.0,Radial Velocity,2021.0
Kepler-406 c,Kepler-406,2.71,0.85,4.62332,,5538.0,Transit,2014.0
Kepler-1048 b,Kepler-1048,,1.61,6.92101021,,4651.0,Transit,2016.0
Kepler-84 f,Kepler-84,,2.2,44.552169,,6031.0,Transit,2014.0
Kepler-306 d,Kepler-306,,2.47,17.326644,,4954.0,Transit,2014.0
Kepler-104 d,Kepler-104,,3.58,51.755394,,5711.0,Transit,2014.0
17 Sco b,17 Sco,,,578.38,,4157.0,Radial Velocity,2020.0
HD 33283 b,HD 33283,,,18.1991,,5935.0,Radial Velocity,2006.0
Kepler-129 c,Kepler-129,43.0,2.52,82.2,,5770.0,Transit,2014.0
K2-157 b,K2-157,1.14,0.935,0.3652575,2432.0,5334.0,Transit,2018.0
K2-195 c,K2-195,,2.57581891,28.482786,,5712.0,Transit,2018.0
Kepler-238 f,Kepler-238,13.5,2.0,50.447,,,Transit,2013.0
Kepler-758 c,Kepler-758,,1.69,4.75793986,,6228.0,Transit,2016.0
HIP 71135 b,HIP 71135,,,87.19,,4146.0,Radial Velocity,2019.0
HD 202696 c,HD 202696,592.43512,,946.6,,5040.0,Radial Velocity,2019.0
Kepler-838 b,Kepler-838,,2.73,15.74957994,,5770.0,Transit,2016.0
Kepler-1733 b,Kepler-1733,,3.63582354,9.229579926,,6320.0,Transit,2021.0
GJ 3998 d,GJ 3998,,,41.78,,3726.0,Radial Velocity,2025.0
Kepler-1185 b,Kepler-1185,,1.33,104.3518976,,5622.0,Transit,2016.0
Kepler-84 b,Kepler-84,,2.23,8.726,,,Transit,2012.0
HAT-P-66 b,HAT-P-66,248.86089,17.82231,2.972086,1896.0,6002.0,Transit,2016.0
Kepler-1352 b,Kepler-1352,,0.89,1.877882748,,6118.0,Transit,2016.0
Kepler-1545 b,Kepler-1545,,2.7,163.692349,,5201.0,Transit,2016.0
HD 20781 c,HD 20781,,,13.8905,,5256.0,Radial Velocity,2019.0
HD 20781 b,HD 20781,,,5.3135,,5256.0,Radial Velocity,2019.0
Kepler-1173 b,Kepler-1173,,0.89,0.7698536,,5252.0,Transit,2016.0
Kepler-405 c,Kepler-405,,4.66,29.726682,,5818.0,Transit,2014.0
Kepler-1599 b,Kepler-1599,,1.62,122.363553,,5767.0,Transit,2016.0
Kepler-831 b,Kepler-831,,1.27,5.62153941,,5732.0,Transit,2016.0
K2-390 b,K2-390,,4.662,3.312792,,5558.0,Transit,2022.0
TOI-519 b,TOI-519,147.15455244,11.54525012,1.2652328,687.0,3322.0,Transit,2021.0
HAT-P-9 b,HAT-P-9,238.05467,15.614137,3.92281072,1540.0,6350.0,Transit,2008.0
HD 143811 AB b,HD 143811 A,1938.7532827,15.69257298,117000.0,,6791.0,Imaging,2025.0
LP 261-75 b,LP 261-75 A,6674.396547,,,1500.0,,Imaging,2006.0
TOI-2545 b,TOI-2545,,2.75,7.994037,,5846.29,Transit,2022.0
Kepler-144 c,Kepler-144,,1.35,10.104665,,6075.0,Transit,2014.0
Kepler-1174 b,Kepler-1174,,1.59,6.89225223,,5936.0,Transit,2016.0
Kepler-147 b,Kepler-147,,1.53,12.610584,,6012.0,Transit,2014.0
HD 81817 c,HD 81817,,,622.97802,,,Radial Velocity,2022.0
Kepler-336 b,Kepler-336,,1.02,2.024823,,5867.0,Transit,2014.0
Kepler-449 c,Kepler-449,,2.764,33.6727,,5649.18,Transit,2015.0
gam Psc b,gam Psc,,,555.1,,4742.0,Radial Velocity,2021.0
K2-183 c,K2-183,,2.3,10.787992,,5482.0,Transit,2018.0
K2-206 b,K2-206,,2.79522879,18.294549,,5043.0,Transit,2018.0
Kepler-1109 b,Kepler-1109,,2.19,37.6467384,,5893.0,Transit,2016.0
GJ 2030 c,GJ 2030,4069.15709482,,25533.11353,,,Radial Velocity,2022.0
LTT 1445 A b,LTT 1445 A,2.73,1.34,5.3587635,431.0,,Transit,2019.0
MOA-2010-BLG-477L b,MOA-2010-BLG-477L,480.0,,,,5950.0,Microlensing,2012.0
HIP 41378 g,HIP 41378,,,62.06,605.0,6320.0,Radial Velocity,2025.0
PDS 70 b,PDS 70,953.49,30.48848,,1204.0,3972.0,Imaging,2018.0
Kepler-84 c,Kepler-84,,2.36,12.883,,,Transit,2012.0
2MASS J22362452+4751425 b,2MASS J22362452+4751425,3972.875,,,,4045.0,Imaging,2016.0
Kepler-68 e,Kepler-68,,,3455.0,,5847.0,Radial Velocity,2023.0
HD 202696 b,HD 202696,634.38868,,517.8,,5040.0,Radial Velocity,2019.0
Kepler-981 b,Kepler-981,,2.31,4.469757736,,5718.0,Transit,2016.0
WISE J033605.05-014350.4 b,WISE J033605.05-014350.4,2622.08435775,,2560.0,325.0,415.0,Imaging,2023.0
Kepler-1825 b,Kepler-1825,,1.42200732,1.025869966,,5123.0,Transit,2021.0
Kepler-513 b,Kepler-513,,2.2,28.86235584,,5849.0,Transit,2016.0
K2-259 b,K2-259,,2.32,15.48043,795.0,6059.0,Transit,2018.0
HD 6860 b,HD 6860,,,663.87,,3802.0,Radial Velocity,2023.0
K2-116 b,K2-116,,0.69,4.655411,,4348.35,Transit,2017.0
Kepler-1053 b,Kepler-1053,,0.98,2.414351654,,4529.0,Transit,2016.0
Kepler-197 c,Kepler-197,,1.23,10.349695,,6004.0,Transit,2014.0
TOI-6448 b,TOI-6448,,8.47398941,14.844261,745.0,5910.0,Transit,2025.0
HD 152079 b,HD 152079,,,2918.92,,5907.0,Radial Velocity,2009.0
TOI-2537 c,TOI-2537,,,1920.0,123.1,4870.0,Radial Velocity,2024.0
HD 103774 b,HD 103774,,,5.8881,,6489.0,Radial Velocity,2013.0
Kepler-122 f,Kepler-122,36.0,1.75,56.268,,,Transit Timing Variations,2014.0
Kepler-544 b,Kepler-544,,2.12,21.41616926,,6206.0,Transit,2016.0
Kepler-1468 d,Kepler-1468,,3.33187146,19.59059906,,5794.0,Transit,2021.0
Kepler-1256 b,Kepler-1256,,1.49,12.4127754,,6129.0,Transit,2016.0
Pr0201 b,Pr0201,,,4.4264,,6174.0,Radial Velocity,2012.0
Kepler-1227 b,Kepler-1227,,2.29,94.2887577,,5747.0,Transit,2016.0
K2-195 b,K2-195,,3.13,15.852975,720.0,5713.0,Transit,2018.0
Kepler-1137 b,Kepler-1137,,2.2,23.9210791,,6807.0,Transit,2016.0
Kepler-1641 c,Kepler-1641,,2.95,32.657212,,6152.0,Transit,2016.0
Kepler-1695 b,Kepler-1695,,1.11948901,4.7329,,5473.19,Transit,2020.0
Kepler-248 c,Kepler-248,,4.07,16.239494,,5190.0,Transit,2014.0
Kepler-1996 c,Kepler-1996,,2.81,92.7297248,276.0,4580.0,Transit,2023.0
Kepler-296 d,Kepler-296,,2.09,19.850291,,3740.0,Transit,2014.0
OGLE-2018-BLG-1212L b,OGLE-2018-BLG-1212L,63.5656814,,,,,Microlensing,2022.0
K2-58 b,K2-58,,2.68,7.05254,,5413.0,Transit,2016.0
Kepler-266 c,Kepler-266,,3.89,107.723601,,5885.0,Transit,2014.0
Kepler-1028 b,Kepler-1028,,1.33,2.51462432,,5522.0,Transit,2016.0
GJ 676 A c,GJ 676 A,4288.14086724,,13921.42302,,,Radial Velocity,2016.0
Kepler-1123 b,Kepler-1123,,1.67,4.33946454,,5500.0,Transit,2016.0
Kepler-1606 b,Kepler-1606,,2.07,196.435224,,5422.0,Transit,2016.0
Kepler-278 c,Kepler-278,34.9,3.268,51.111,492.0,4965.0,Transit,2014.0
Kepler-1834 c,Kepler-1834,,1.22,0.766691517,1541.0,4821.0,Transit,2023.0
K2-392 b,K2-392,,1.85,15.398723,,5726.0,Transit,2022.0
Kepler-1080 b,Kepler-1080,,3.28,77.2548396,,5956.0,Transit,2016.0
Kepler-1987 c,Kepler-1987,,1.33,3.64830183,860.0,4769.0,Transit,2023.0
Kepler-355 b,Kepler-355,,1.46,11.03189,,6184.0,Transit,2014.0
K2-213 b,K2-213,,1.51398464,8.13087,,5794.0,Transit,2018.0
2MASS J0249-0557 c,2MASS J0249-0557 A,3686.8095212,,,,,Imaging,2018.0
OGLE-2017-BLG-0406L b,OGLE-2017-BLG-0406L,130.0,,,,,Microlensing,2020.0
Kepler-224 d,Kepler-224,,2.3,11.349393,,5018.0,Transit,2014.0
KIC 7917485 b,KIC 7917485,,,840.0,,7067.0,Pulsation Timing Variations,2016.0
Kepler-104 c,Kepler-104,,3.13,23.668205,,5711.0,Transit,2014.0
Kepler-630 b,Kepler-630,,3.18,161.4743937,,5829.0,Transit,2016.0
Kepler-1298 b,Kepler-1298,,1.31,7.12811928,,6339.0,Transit,2016.0
Kepler-193 b,Kepler-193,,2.39,11.38848,,6335.0,Transit,2014.0
Kepler-449 b,Kepler-449,,2.056,12.58242,,5649.18,Transit,2015.0
Kepler-1103 b,Kepler-1103,,2.27,19.79191978,,6092.0,Transit,2016.0
K2-317 b,K2-317,,2.93,6.22,432.0,3387.0,Transit,2020.0
K2-44 b,K2-44,,2.433,5.657,,5912.0,Transit,2016.0
Kepler-810 b,Kepler-810,,1.93,4.59725385,,5803.0,Transit,2016.0
Kepler-1165 b,Kepler-1165,,1.55,9.478522,,6080.0,Transit,2016.0
TOI-2202 c,TOI-2202,117.27868218,,24.6744,,5144.0,Transit Timing Variations,2021.0
Kepler-1312 b,Kepler-1312,,2.1,5.448325286,,5719.0,Transit,2016.0
Kepler-349 c,Kepler-349,,1.96,12.247629,,5956.0,Transit,2014.0
